-1238, -772, -16130, -140, 38, -210
-1214, -764, -16200, -115, 42, -231
-1124, -750, -16118, -137, 57, -221
-1294, -736, -16174, -156, 40, -231
-1250, -746, -16146, -119, 55, -230
-1248, -758, -16166, -145, 58, -248
-1298, -786, -16188, -134, 47, -221
-1156, -754, -16214, -130, 57, -238
-1208, -722, -16272, -118, 46, -228
-1258, -788, -16162, -131, 38, -243
-1190, -664, -16196, -123, 49, -225
-1214, -702, -16220, -128, 53, -232
-1284, -728, -16188, -108, 62, -233
-1212, -760, -16134, -146, 62, -240
-1280, -742, -16116, -139, 58, -215
-1272, -790, -16252, -105, 53, -228
-1246, -694, -16132, -135, 61, -228
-1264, -812, -16192, -103, 75, -240
-1250, -620, -16268, -136, 52, -230
-1264, -792, -16228, -139, 53, -235
-1268, -716, -16068, -139, 53, -229
-1248, -754, -16344, -120, 44, -234
-1284, -756, -16244, -153, 72, -232
-1134, -820, -16166, -102, 50, -227
-1254, -782, -16142, -130, 63, -228
-1234, -786, -16146, -131, 42, -233
-1244, -856, -16154, -143, 48, -239
-1270, -698, -16048, -114, 52, -240
-1252, -752, -16224, -141, 56, -232
-1240, -744, -16066, -129, 51, -235
-1248, -772, -16214, -108, 39, -239
-1236, -774, -16122, -156, 49, -247
-1176, -786, -16156, -142, 52, -238
-1210, -768, -16062, -131, 56, -230
-1204, -790, -16018, -132, 47, -241
-1188, -782, -16160, -135, 54, -235
-1214, -726, -16314, -125, 52, -241
-1228, -828, -16178, -125, 56, -242
-1272, -704, -16070, -132, 20, -234
-1212, -812, -16098, -99, 35, -240
-1208, -762, -16108, -140, 60, -223
-1238, -720, -16202, -139, 39, -221
-1222, -762, -16152, -121, 56, -243
-1196, -696, -16180, -118, 47, -224
-1292, -766, -16174, -147, 49, -242
-1238, -720, -16120, -141, 50, -252
-1262, -650, -16140, -113, 40, -222
-1290, -610, -16060, -108, 42, -238
-1198, -762, -16200, -129, 58, -238
-1276, -778, -16152, -129, 53, -219
-1266, -738, -16290, -119, 58, -229
-1246, -740, -16004, -120, 48, -231
-1228, -848, -16168, -139, 65, -241
-1272, -716, -16148, -149, 82, -239
-1194, -766, -16168, -125, 56, -224
-1186, -764, -16090, -134, 77, -229
-1236, -772, -16138, -142, 80, -241
-1292, -780, -16038, -123, 49, -236
-1176, -760, -16134, -120, 64, -234
-1292, -708, -16198, -136, 59, -228
-1202, -750, -16062, -137, 77, -236
-1284, -760, -16190, -137, 51, -239
-1204, -714, -16140, -139, 44, -248
-1214, -808, -16190, -147, 49, -237
-1280, -746, -16102, -118, 37, -231
-1244, -822, -16150, -136, 53, -224
-1228, -852, -16108, -135, 50, -222
-1194, -744, -16098, -134, 46, -240
-1254, -784, -16174, -137, 50, -234
-1182, -728, -16196, -133, 63, -243
-1168, -764, -16176, -168, 57, -239
-1216, -744, -16112, -107, 62, -229
-1276, -650, -16280, -141, 51, -236
-1218, -732, -16126, -146, 62, -257
-1256, -788, -16230, -117, 33, -205
-1236, -674, -16118, -153, 49, -246
-1206, -846, -16094, -106, 61, -222
-1288, -764, -16098, -177, 57, -246
-1250, -784, -16194, -69, 51, -237
-1292, -808, -16236, -185, 51, -239
-1200, -802, -16172, -113, 53, -227
-1258, -760, -16288, -141, 41, -233
-1224, -764, -16130, -106, 62, -233
-1210, -764, -16130, -152, 43, -243
-1166, -760, -16024, -152, 68, -227
-1282, -658, -16088, -127, 65, -243
-1250, -814, -16260, -147, 69, -233
-1224, -676, -16048, -125, 53, -229
-1206, -850, -16256, -145, 53, -239
-1294, -746, -16200, -131, 74, -239
-1220, -756, -16320, -123, 23, -232
-1240, -800, -16170, -123, 78, -228
-1216, -740, -16088, -104, 22, -234
-1224, -790, -16160, -153, 50, -221
-1220, -766, -16100, -122, 48, -242
-1248, -722, -16104, -141, 65, -234
-1316, -710, -16120, -107, 49, -246
-1228, -760, -16272, -127, 39, -237
-1306, -724, -16110, -135, 63, -248
-1190, -712, -16172, -130, 44, -235
-1232, -820, -16224, -124, 43, -241
-1184, -720, -16172, -126, 52, -225
-1210, -782, -16136, -119, 67, -231
-1268, -742, -16274, -138, 85, -236
-1312, -844, -16134, -114, 53, -246
-1256, -750, -16232, -134, 52, -234
-1252, -770, -16106, -133, 36, -231
-1252, -850, -16192, -119, 45, -222
-1230, -686, -16232, -120, 46, -229
-1218, -716, -16162, -149, 51, -255
-1240, -708, -16248, -131, 50, -236
-1204, -760, -16186, -152, 50, -225
-1266, -800, -16180, -116, 65, -241
-1232, -662, -16082, -148, 50, -235
-1208, -734, -16292, -123, 66, -218
-1182, -800, -16126, -169, 50, -221
-1198, -832, -16058, -67, 53, -228
-1268, -782, -16162, -158, 64, -245
-1220, -790, -16238, -114, 69, -243
-1242, -790, -16286, -131, 66, -237
-1238, -786, -16134, -132, 59, -237
-1198, -768, -16208, -148, 59, -240
-1170, -718, -16148, -101, 45, -236
-1216, -814, -16044, -173, 34, -229
-1204, -710, -16124, -105, 50, -222
-1232, -714, -16220, -142, 34, -246
-1212, -716, -16094, -115, 67, -234
-1308, -728, -16310, -71, 71, -240
-1256, -722, -15876, -290, -17, -240
-1092, -940, 16122, 61, 82, -201
-1202, -452, -15802, -238, 53, -250
-1130, -1130, 16234, -131, 101, -232
-1300, -562, -15868, -101, 69, -233
-1348, -866, 16178, -99, 120, -242
-1332, -644, -15850, -179, 0, -230
-1250, -878, -16316, -65, 49, -232
-1130, -624, -16038, -211, 54, -219
-1170, -874, -16346, -59, 24, -233
-1154, -666, -15948, -157, 54, -232
-1170, -820, -16230, -126, 80, -233
-1274, -680, -16062, -135, 77, -224
-1194, -750, -16260, -114, 15, -241
-1226, -770, -16176, -120, 87, -248
-1276, -756, -16074, -117, 38, -229
-1212, -772, -16296, -138, 44, -234
-1260, -760, -16182, -145, 72, -241
-1266, -812, -16130, -112, 34, -231
-1182, -762, -16130, -157, 89, -231
-1250, -840, -16110, -124, 89, -228
-1226, -746, -16092, -122, 52, -211
-1252, -814, -16178, -123, 62, -234
-1198, -796, -16108, -129, 31, -237
-1244, -756, -16194, -123, 17, -248
-1122, -732, -16106, -151, 43, -224
-1236, -754, -16246, -142, 45, -239
-1240, -712, -16222, -102, 79, -225
-1226, -764, -16256, -150, 66, -231
-1302, -744, -16128, -111, 52, -233
-1216, -742, -16134, -139, 64, -233
-1272, -742, -16096, -155, 50, -233
-1200, -860, -16072, -121, 35, -234
-1190, -622, -16170, -123, 65, -247
-1218, -742, -16092, -136, 65, -242
-1174, -724, -16038, -119, 59, -235
-1242, -788, -16156, -146, 62, -232
-1266, -714, -16104, -117, 31, -228
-1260, -774, -16186, -134, 20, -233
-1164, -762, -16132, -129, 39, -231
-1168, -800, -16258, -137, 65, -245
-1214, -804, -16138, -118, 55, -214
-1256, -748, -16282, -116, 77, -254
-1272, -734, -16150, -137, 51, -238
-1288, -750, -16290, -109, 58, -248
-1306, -716, -15986, -152, 60, -234
-1192, -752, -16166, -131, 40, -235
-1178, -792, -16166, -130, 57, -243
-1232, -750, -16072, -126, 51, -232
-1208, -782, -16138, -137, 32, -243
-1220, -782, -16198, -147, 54, -228
-1234, -736, -16052, -129, 29, -240
-1326, -764, -16176, -131, 53, -241
-1220, -678, -16230, -125, 40, -235
-1180, -752, -16088, -122, 45, -234
-1202, -750, -16162, -121, 51, -243
-1208, -768, -16276, -139, 36, -228
-1192, -752, -16158, -147, 67, -240
-1330, -716, -16180, -112, 71, -243
-1214, -756, -16270, -137, 76, -243
-1242, -742, -16100, -145, 52, -258
-1254, -720, -16172, -131, 30, -243
-1216, -712, -16150, -150, 34, -248
-1208, -802, -16182, -121, 34, -237
-1166, -730, -16224, -142, 34, -235
-1212, -736, -16182, -112, 50, -233
-1230, -812, -16222, -134, 57, -228
-1250, -750, -16068, -136, 59, -219
-1246, -732, -16230, -122, 39, -223
-1276, -746, -16222, -139, 38, -216
