-1238, -654, -16270, -175, 33, -239
-1266, -570, -16092, -135, 58, -225
-1232, -620, -16274, -153, 24, -238
-1252, -622, -16156, -182, 49, -223
-1214, -620, -16070, -181, 61, -233
-1264, -608, -16056, -154, 27, -216
-1218, -656, -16212, -138, 77, -221
-1270, -534, -16046, -207, 45, -231
-1242, -678, -16144, -150, 47, -224
-1210, -582, -16128, -164, 39, -245
-1212, -574, -16168, -149, 37, -217
-1276, -598, -16066, -179, 60, -228
-1286, -594, -16162, -148, 47, -223
-1298, -650, -16142, -167, 66, -243
-1238, -640, -16196, -160, 51, -211
-1266, -660, -16210, -161, 43, -231
-1250, -634, -16110, -166, 38, -235
-1294, -602, -16056, -169, 32, -235
-1310, -574, -16242, -158, 54, -222
-1266, -596, -16140, -184, 48, -234
-1172, -616, -16150, -150, 64, -224
-1200, -588, -16088, -143, 19, -227
-1178, -600, -16194, -200, 64, -240
-1198, -548, -16246, -155, 54, -216
-1246, -638, -16234, -162, 27, -242
-1336, -618, -16036, -194, 75, -247
-1388, -614, -16166, -153, 37, -233
-1134, -632, -16246, -180, 24, -225
-1230, -642, -16166, -165, 62, -218
-1270, -508, -16178, -139, 23, -234
-1226, -676, -16244, -151, 57, -208
-1234, -590, -16078, -163, 67, -211
-1242, -612, -16186, -152, 42, -212
-1232, -534, -16186, -198, 64, -221
-1244, -686, -16114, -143, 50, -216
-1326, -612, -16130, -175, 27, -229
-1296, -598, -16196, -179, 71, -207
-1332, -562, -16098, -173, 53, -219
-1286, -604, -16118, -184, 38, -228
-1350, -586, -16214, -171, 49, -224
-1278, -590, -16090, -172, 33, -222
-1260, -642, -16214, -155, 59, -224
-1254, -574, -16016, -159, 36, -229
-1208, -572, -16132, -156, 37, -225
-1290, -530, -16254, -125, 39, -217
-1228, -638, -16288, -160, 20, -224
-1230, -578, -16196, -152, 70, -218
-1266, -632, -16156, -168, 33, -224
-1260, -562, -16142, -153, 44, -209
-1196, -614, -16174, -172, 69, -190
-1338, -644, -16082, -156, 35, -183
-1224, -644, -16256, -100, 118, -205
-1348, -458, -16068, -189, 58, -202
-1220, -582, -16214, -149, 71, -209
-1334, -570, -16004, -164, 24, -207
-1234, -640, -16178, -133, -10, -202
-1202, -606, -16100, -193, 76, -165
-1320, -784, -16164, -259, 21, 26
-1280, -522, -16030, -1, -67, 33
-1240, -510, -16246, -158, 16, -86
-1252, -396, -16134, -271, 67, -171
-1316, -662, -16038, -172, -43, -137
-1246, -558, -16150, -98, 27, -163
-1292, -722, -15970, -231, -28, -147
-1256, -628, -16074, -116, 68, -187
-1246, -486, -16150, -121, 91, -246
-1184, -604, -16112, -208, 100, -272
-1254, -636, -16032, -114, 103, -249
-1270, -514, -16154, -56, 114, -276
-1236, -644, -16268, -186, 126, -285
-1290, -670, -16120, -111, 184, -352
-1214, -650, -16150, 1, 176, -353
-1230, -284, -16120, 29, 167, -498
-1226, -168, -15892, 227, 206, -807
-1302, 524, -15612, 1188, -113, -1725
-1492, 1720, -15908, 1832, -528, -2636
-2050, 2800, 16126, 2239, -313, -3876
-2658, 4606, -15888, 3370, -496, -5493
-3442, 6218, -15790, 4619, -1157, -7174
-3914, 8610, -16344, 4986, -880, -7746
-3192, 9270, -16320, 3860, -1724, -6792
-1934, 10138, -16314, 3791, -2916, -5107
-982, 11410, -16118, 3509, -3103, -3990
-664, 12948, -15924, 3615, -870, -3253
-944, 13544, 16268, 3256, -697, -2064
-624, 13034, 15530, 1740, -582, 269
-436, 13398, 16328, 1636, -450, 1350
-1924, 13852, 15752, 1032, 1117, 1619
-4780, 14230, 15040, -95, 3306, 1974
-5876, 12552, 15790, -2563, 1731, 3888
-4932, 9384, 15908, -4730, 229, 6963
-3504, 7724, -15860, -4903, -643, 10256
-1548, 4238, 15822, -7398, -201, 15200
-834, 596, 15406, -9369, 1809, -13170
-2174, -1620, -16378, -8445, 3488, -11781
-5072, -1896, 15646, -6628, 4587, -12726
-7756, -8566, -14550, -7399, 3771, 10633
-7942, -7448, 16138, -9464, -42, 15256
-6054, -9592, 15834, -3833, -4781, -14632
-4874, -10046, 15446, -7816, -4574, -10331
-3516, -11116, 15088, -6109, -2802, -8777
-4204, -11400, 16096, -5458, -1048, -8663
-4622, -12798, 16210, -3817, -1588, -12004
-4546, -13714, 15474, -2723, -2054, -15918
-4610, -13490, 14886, -1313, -1228, 13625
-4672, -12952, 15480, -2154, -1271, 10944
-3124, -12760, 15262, -4439, -2771, 10424
-938, 15190, 14836, -7326, 13, 4853
3198, 15344, 16150, -2729, -2429, 2993
3452, 13762, 13634, -1597, 1723, -724
-1142, 15916, 15780, 2735, 4112, -3619
-2696, -7972, -15236, 10260, -1384, -2775
-1800, -1086, -15182, 12271, -2916, -2591
-44, 2240, 16050, 6113, -1233, -2579
66, 2634, 14912, 1694, 1027, -3008
-750, 2092, -16316, -840, 1550, -2066
-1280, 1314, -15036, -656, 378, -728
-886, -794, -16320, -1626, -34, -293
-988, -1430, 16274, -815, 281, -301
-1310, -898, -15532, 139, 192, -225
